Title,Company,Salary,AverageSalary,,AverageSalary,cishu
黑桃互动,数据分析,10k-15k,12.5,,1.5,3
PINTEC,数据分析师,10k-20k,15,,2.5,3
盛付通,数据分析师,10k-20k,15,,3,1
达达-京东到家,数据分析,15k-25k,20,,3.5,1
晋消,数据分析师,15k-30k,22.5,,4.5,2
共轨之家,数据分析师,6k-10k,8,,5,1
上海你我贷互联网金融信息服务,数据分析师 (MJ000385),18k-25k,21.5,,7,2
群星金融,数据分析,10k-20k,15,,7.5,3
买单侠,数据分析师,8k-15k,11.5,,8,3
陆金所,251139-数据分析师,13k-26k,19.5,,9,2
别样app,数据分析师,15k-25k,20,,9.5,1
联众金融,数据分析师-资产,8k-15k,11.5,,10,5
百融金服,数据分析师,10k-20k,15,,10.5,1
威士顿,数据分析师,10k-15k,12.5,,11,1
蜻蜓FM,数据分析实习生,2k-3k,2.5,,11.5,13
黑桃互动,数据分析,10k-15k,12.5,,12,6
PINTEC,数据分析师,10k-20k,15,,12.5,10
盛付通,数据分析师,10k-20k,15,,13.5,2
达达-京东到家,数据分析,15k-25k,20,,14,4
晋消,数据分析师,15k-30k,22.5,,15,26
共轨之家,数据分析师,6k-10k,8,,15.5,1
上海你我贷互联网金融信息服务,数据分析师 (MJ000385),18k-25k,21.5,,16,2
群星金融,数据分析,10k-20k,15,,16.5,1
买单侠,数据分析师,8k-15k,11.5,,17.5,6
陆金所,251139-数据分析师,13k-26k,19.5,,18.5,1
别样app,数据分析师,15k-25k,20,,19,2
联众金融,数据分析师-资产,8k-15k,11.5,,19.5,2
百融金服,数据分析师,10k-20k,15,,20,24
威士顿,数据分析师,10k-15k,12.5,,21.5,3
蜻蜓FM,数据分析实习生,2k-3k,2.5,,22.5,12
上海你我贷互联网金融信息服务,数据分析师,15k-25k,20,,24,1
Soul App,数据分析/数据开发,25k-50k,37.5,,25,6
上海腾聘,数据分析leader,35k-65k,50,,25.5,1
艾天科技,数据分析师,10k-20k,15,,26.5,3
海万科技,数据分析师,13k-14k,13.5,,27.5,2
招商银行信用卡中心,数据分析师,30k-50k,40,,30,4
上海中软华腾软件系统有限公司,数据分析,13k-22k,17.5,,37.5,2
爱库存,数据分析师,15k-25k,20,,40,1
百融金服,数据分析实习生,10k-20k,15,,45,1
趣头条,高级数据分析(000982),20k-35k,27.5,,50,1
还呗-智能信贷领先者,数据分析师,20k-30k,25,,,
韩创科技,数据分析,15k-25k,20,,,
华宝证券,数据分析,10k-20k,15,,,
上海恒格信息,高级数据分析师,12k-18k,15,,,
长投网,中级数据分析师,15k-25k,20,,,
海万科技,数据分析,12k-16k,14,,,
上海中软华腾软件系统有限公司,数据分析,12k-20k,16,,,
极融云,数据分析师,15k-30k,22.5,,,
美味不用等,数据分析师,15k-30k,22.5,,,
上海恒格信息,高级数据分析师,17k-23k,20,,,
浦发卡中心,数据分析师,15k-25k,20,,,
韩创科技,数据分析师,15k-25k,20,,,
骑呗购,数据分析专员,9k-14k,11.5,,,
量盛科技,数据分析,1k-2k,1.5,,,
新增鼎数据,数据分析师,10k-20k,15,,,
金证股份,数据分析,10k-18k,14,,,
方付通,数据分析实习生,3k-6k,4.5,,,
还呗-智能信贷领先者,数据分析师,8k-12k,10,,,
ezbuy,数据分析工程师,15k-25k,20,,,
平安银行信用卡中心,数据分析师,15k-30k,22.5,,,
海万科技,数据分析工程师,13k-18k,15.5,,,
上海中软华腾软件系统有限公司,数据分析,15k-25k,20,,,
还呗-智能信贷领先者,数据分析师,10k-15k,12.5,,,
蜻蜓FM,数据分析工程师,18k-30k,24,,,
斑马旅游,高级数据分析师,10k-20k,15,,,
达达-京东到家,数据分析师,15k-25k,20,,,
比孚,数据分析师,16k-22k,19,,,
平安金服,数据分析师,20k-40k,30,,,
同程艺龙,数据分析工程师,20k-25k,22.5,,,
新增鼎数据,高级数据分析师,10k-20k,15,,,
七牛云,资深数据分析师,17k-34k,25.5,,,
浦发卡中心,高级数据分析师,15k-25k,20,,,
群硕软件,资深数据分析师,15k-20k,17.5,,,
百融金服,资深数据分析师,15k-30k,22.5,,,
国泰产险,数据分析师,20k-30k,25,,,
上海中软华腾软件系统有限公司,数据分析,18k-35k,26.5,,,
海万科技,数据分析,8k-15k,11.5,,,
还呗-智能信贷领先者,高级数据分析工程师,15k-30k,22.5,,,
蜻蜓FM,数据分析专家,20k-30k,25,,,
达达-京东到家,数据分析（实习生）,2k-4k,3,,,
掌门集团,数据分析,20k-40k,30,,,
韩创科技,数据分析师,8k-15k,11.5,,,
盟鼎网络,数据分析师,5k-10k,7.5,,,
图趣科技,数据分析工程师,15k-30k,22.5,,,
长投网,高级数据分析师,15k-30k,22.5,,,
百融金服,数据分析师,10k-20k,15,,,
银联智惠,数据分析师,3k-4k,3.5,,,
交行信用卡中心,数据分析师--商发部,8k-10k,9,,,
上海前景,数据分析,6k-10k,8,,,
平安金服,数据分析师（大数据SH）,25k-50k,37.5,,,
上海中软华腾软件系统有限公司,高级数据分析师,13k-20k,16.5,,,
海万科技,业务数据分析工程师,8k-15k,11.5,,,
达达-京东到家,数据分析师（中高级）,15k-25k,20,,,
蜻蜓FM,数据分析师,15k-25k,20,,,
交行信用卡中心,数据分析员,6k-8k,7,,,
平安科技,数据分析师（上海）,10k-15k,12.5,,,
有机,高级数据分析师,15k-30k,22.5,,,
韩创科技,数据分析,8k-15k,11.5,,,
德科信息,数据分析师,11k-13k,12,,,
银联智惠,高级数据分析师,20k-30k,25,,,
萨摩耶金服,数据分析师,13k-25k,19,,,
通华金科,数据分析师,8k-15k,11.5,,,
群星金融,数据分析（实习生）,4k-6k,5,,,
数道科技,数据分析师,10k-15k,12.5,,,
平安人寿,数据分析岗,9k-15k,12,,,
上海中软华腾软件系统有限公司,数据分析工程师（中高级）,15k-25k,20,,,
韩创科技,产品数据分析师,15k-25k,20,,,
通华金科,数据分析经理,20k-30k,25,,,
仁辉科技,数据分析师,12k-20k,16,,,
买单侠,业务支持（数据分析）,6k-12k,9,,,
平安人寿,数据分析师,10k-18k,14,,,
慧鸿,数据分析师,10k-15k,12.5,,,
民商基金,数据分析与量化研究实习生,1k-2k,1.5,,,
斑马旅游,管理培训生（数据分析方向）,8k-12k,10,,,
平安科技,数据分析师（数据仓库）(上海）,15k-20k,17.5,,,
PPmoney互联网金融平台,风险数据分析师 (MJ001188),20k-35k,27.5,,,
民商金融,数据分析与量化研究实习生,1k-2k,1.5,,,
咪,算法/数据分析工程师,15k-25k,20,,,
上海银行信用卡中心,高级数据分析师,18k-25k,21.5,,,
2345.com,高级数据分析（用户欺诈行为分析）,10k-15k,12.5,,,
韩创科技,商业数据分析师,15k-25k,20,,,
仁辉科技,高级数据分析师,15k-25k,20,,,
民商金融,数据分析与量化研究,8k-15k,11.5,,,
欧拉网络,数据分析建模师,20k-40k,30,,,
爱零工,项目助理（数据分析）,6k-8k,7,,,
买单侠,数据分析专员（催收）,8k-12k,10,,,
阅文集团,资深数据分析架构师,18k-35k,26.5,,,
维优Viewfin,量化数据分析师/开发工程师,10k-18k,14,,,
奇虎360金融,BI数据分析师,18k-35k,26.5,,,
海万科技,数据分析（BI）,10k-14k,12,,,
易钧信息,数据分析师（SQL）,8k-14k,11,,,
米么金服,数据分析师（互金风控）,10k-15k,12.5,,,
叠纸游戏,运营数据分析 (MJ000129),9k-18k,13.5,,,
平安人寿,管理培训生（数据分析方向）,7k-12k,9.5,,,
2345.com,数据分析师（风控）,20k-30k,25,,,
韩创科技,数据分析（虎课网）,10k-20k,15,,,
海万科技,数据分析（tableau）,10k-14k,12,,,
交行信用卡中心,数据分析（风控）,7k-13k,10,,,
惠金所,风控数据分析师,10k-20k,15,,,
有机,数据分析管培生（校园招聘）,5k-10k,7.5,,,
启S金融,数据分析师风控,12k-18k,15,,,
平安科技,数据科学家（医疗数据分析建模）(上海),20k-40k,30,,,
知因智慧,ETL（数据分析）工程师,15k-22k,18.5,,,
51JOB,大数据分析工程师,10k-20k,15,,,
"111,Inc.",销售运营（数据分析）,8k-13k,10.5,,,
亿通国际,中级大数据分析工程师,10k-20k,15,,,
平安金服,互联网金融大数据分析科学家,30k-60k,45,,,
数云大数据,大数据分析挖掘工程师,15k-30k,22.5,,,
韩创科技,运营数据分析师,10k-20k,15,,,
韩创科技,商业数据分析（负责学习平台）,10k-20k,15,,,
海万科技,大数据分析,8k-16k,12,,,
海万科技,大数据分析（唐镇）,10k-14k,12,,,
海万科技,大数据分析,12k-18k,15,,,
海万科技,大数据分析,12k-18k,15,,,
有机,风控（策略/模型/数据分析）,12k-23k,17.5,,,
亿通国际,初级大数据分析工程师,7k-13k,10,,,
还呗-智能信贷领先者,数据分析,4k-5k,4.5,,,
还呗-智能信贷领先者,数据分析师,8k-15k,11.5,,,
百融金服,高级数据分析师,15k-20k,17.5,,,
百融金服,数据分析师/高级数据分析师：上海,10k-20k,15,,,
蜻蜓FM,广告数据分析,15k-25k,20,,,
还呗-智能信贷领先者,数据分析师（商业分析方向）,8k-15k,11.5,,,
还呗-智能信贷领先者,风险数据分析师,5k-10k,7.5,,,
蜻蜓FM,用户增长数据分析实习生,2k-3k,2.5,,,
还呗-智能信贷领先者,用户数据分析,15k-20k,17.5,,,
还呗-智能信贷领先者,用户数据分析专家,15k-25k,20,,,
